Name	Fraction	Experiment
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-4	24	AgDAF16D01
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-5	25	AgDAF16D01
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D06-1	21	AgDAF16D06
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D06-2	22	AgDAF16D06
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D06-3	23	AgDAF16D06
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D06-4	24	AgDAF16D06
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D06-5	25	AgDAF16D06
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D12-1	21	AgDAF16D12
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D12-2	22	AgDAF16D12
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D12-3	23	AgDAF16D12
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D12-4	24	AgDAF16D12
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D12-5	25	AgDAF16D12
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D01-1	21	AgHSF1D01
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D01-2	22	AgHSF1D01
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D01-3	23	AgHSF1D01
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D01-4	24	AgHSF1D01
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D01-5	25	AgHSF1D01
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D06-1	21	AgHSF1D06
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D06-2	22	AgHSF1D06
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D06-3	23	AgHSF1D06
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D06-4	24	AgHSF1D06
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D06-5	25	AgHSF1D06
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D12-1	21	AgHSF1D12
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D12-2	22	AgHSF1D12
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D12-3	23	AgHSF1D12
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D12-4	24	AgHSF1D12
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_HSF1_D12-5	25	AgHSF1D12
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D01-1	21	AgDAF2D01
